"part","term","statistic","Model 1: Same day Intensity/Engagement","Model 2: Same day Frequency/Engagement","Model 3: Next day Intensity/Engagement","Model 4: Next day Frequency/Engagement"
"estimates","(Intercept)","estimate","-1.802","-1.785","-1.746","-1.748"
"estimates","(Intercept)","std.error","(0.211)","(0.205)","(0.182)","(0.183)"
"estimates","SIU_intensity_total_scaled","estimate","2.020","","0.603",""
"estimates","SIU_intensity_total_scaled","std.error","(0.340)","","(0.119)",""
"estimates","SIU_frequency_total_scaled","estimate","","2.203","","0.648"
"estimates","SIU_frequency_total_scaled","std.error","","(0.360)","","(0.126)"
"estimates","SD (Intercept PersonID)","estimate","1.672","1.611","1.599","1.606"
"estimates","SD (SIU_intensity_total_scaled PersonID)","estimate","1.834","","0.299",""
"estimates","Cor (Intercept~SIU_intensity_total_scaled PersonID)","estimate","-0.180","","-1.000",""
"estimates","SD (SIU_frequency_total_scaled PersonID)","estimate","","1.908","","0.307"
"estimates","Cor (Intercept~SIU_frequency_total_scaled PersonID)","estimate","","-0.231","","-1.000"
"gof","Num.Obs.","","2072","2072","2071","2071"
"gof","R2 Marg.","","0.302","0.337","0.058","0.113"
"gof","R2 Cond.","","0.757","0.771","0.478",""
"gof","AIC","","1788.1","1783.9","1978.6","1977.1"
"gof","BIC","","1816.3","1812.1","2006.8","2005.2"
"gof","ICC","","0.7","0.7","0.4",""
"gof","RMSE","","0.33","0.33","0.36","0.36"
